Temperature             Resistance
(Kelvin)                (Ohms)

3.59971711260364E+00   1.96319626870826E+04
3.80134834524032E+00   1.77740211646723E+04
4.00389400960556E+00   1.62131111327817E+04
4.21975966426137E+00   1.48080420193020E+04
4.60430756974449E+00   1.28204798376460E+04
5.04288394320985E+00   1.10975617882141E+04
5.55152340292796E+00   9.59659393491357E+03
6.26695263210632E+00   8.06563968302290E+03
7.08424155746681E+00   6.82596631593100E+03
8.11542257355192E+00   5.72833672924951E+03
9.14768916366010E+00   4.94369988159443E+03
1.01751485783450E+01   4.35726384711924E+03
1.12027207073283E+01   3.90062099187286E+03
1.22166621571491E+01   3.53813171411097E+03
1.32220410654468E+01   3.24306698614526E+03
1.42162864400785E+01   2.99734072588394E+03
1.52031393785164E+01   2.78912716185520E+03
1.61862379656629E+01   2.60948725158253E+03
1.71586835438827E+01   2.45381923220109E+03
1.81303574930604E+01   2.31618749313393E+03
1.91032423746657E+01   2.19335229138943E+03
2.00756436583075E+01   2.08338450201977E+03
2.11434299479315E+01   1.97466353734848E+03
2.27236407785191E+01   1.83311859744210E+03
2.43447514614517E+01   1.70787113862618E+03
2.59678541454744E+01   1.59850772355440E+03
2.75861642245664E+01   1.50248654464248E+03
2.92008271081361E+01   1.41749090795223E+03
3.10113959582850E+01   1.33277282590962E+03
3.31224865306626E+01   1.24615441186846E+03
3.61192326557924E+01   1.14040653819029E+03
3.91202763622538E+01   1.05111514712979E+03
4.21123662250931E+01   9.74935466773758E+02
4.51168658699763E+01   9.08685159759866E+02
4.81063211874425E+01   8.51083052463344E+02
5.01041423048316E+01   8.16440116184586E+02
5.50957944629371E+01   7.41095067728659E+02
6.00963835876193E+01   6.78299425566542E+02
6.50951341559387E+01   6.25220604075622E+02
7.00870347145599E+01   5.79928070098294E+02
7.50795189067637E+01   5.40660667923271E+02
8.00690465790443E+01   5.06353088688365E+02
8.50684888723609E+01   4.76053165658661E+02
9.00584082419217E+01   4.49154207186513E+02
9.50511526393461E+01   4.25063832310201E+02
1.00050411508042E+02   4.03365930940659E+02
1.10048995227178E+02   3.65884454623544E+02
1.20046434679939E+02   3.34608573977444E+02
1.30034071830196E+02   3.08188195020206E+02
1.40046657899255E+02   2.85474938858678E+02
1.50044565359745E+02   2.65828055067357E+02
1.60050226496841E+02   2.48644716731533E+02
1.70048301733567E+02   2.33508939110123E+02
1.80051831973763E+02   2.20092250913806E+02
1.90053380713195E+02   2.08107434546717E+02
2.00052772304279E+02   1.97367815928184E+02
2.10065067329085E+02   1.87675347385912E+02
2.20070671691782E+02   1.78895869306563E+02
2.30071118833947E+02   1.70932426528793E+02
2.40069341825750E+02   1.63666272272178E+02
2.50072937199310E+02   1.57017193745462E+02
2.60084763633153E+02   1.50908079207649E+02
2.70086936873225E+02   1.45289271408881E+02
2.80084822251025E+02   1.40109157906805E+02
2.90112031080578E+02   1.35298180858371E+02
3.00122581896267E+02   1.30848274681497E+02
3.10130374279538E+02   1.26701320089166E+02
3.15136748801308E+02   1.24752807410393E+02
3.20161970624798E+02   1.22847101428128E+02
3.26180605357342E+02   1.20658154520038E+02
3.30181920758870E+02   1.19241357975461E+02
