Temperature             Resistance
(Kelvin)                (Ohms)

3.60054092397131E+00   1.11818679510168E+04
3.80231158430872E+00   1.01861044427405E+04
3.99812333754188E+00   9.36976938849900E+03
4.19351329712132E+00   8.67277887317887E+03
4.69445567588026E+00   7.28732079431316E+03
5.10487325188129E+00   6.43968032647870E+03
5.61990100969047E+00   5.62579902010625E+03
6.34365557180984E+00   4.78553925330457E+03
7.17989750397429E+00   4.09173083686223E+03
8.23103462938234E+00   3.47460400985622E+03
9.28519319180810E+00   3.02823671721112E+03
1.03293587065871E+01   2.69354340939659E+03
1.13617196781111E+01   2.43332188811393E+03
1.23756013540096E+01   2.22622524831036E+03
1.33777826365945E+01   2.05577204973007E+03
1.43663269706550E+01   1.91337790288395E+03
1.53431565585701E+01   1.79192868467622E+03
1.63068186534618E+01   1.68729042989378E+03
1.72644692134437E+01   1.59527284904275E+03
1.82153514132499E+01   1.51366059134199E+03
1.91669975281948E+01   1.44047915297356E+03
2.01218416643902E+01   1.37394507829888E+03
2.11813933763345E+01   1.30718044222255E+03
2.27434248992508E+01   1.21999889276688E+03
2.43915447068973E+01   1.13982091935893E+03
2.60604696925809E+01   1.06874152234268E+03
2.77101098866465E+01   1.00662515897289E+03
2.93400584877810E+01   9.52024417287085E+02
3.11564685228078E+01   8.97354594044207E+02
3.32796445820120E+01   8.40905830901388E+02
3.62860361689886E+01   7.71736031573250E+02
3.92999309275448E+01   7.12707388981121E+02
4.22902166898770E+01   6.62146118578254E+02
4.52931722831065E+01   6.17850530902559E+02
4.82829408366504E+01   5.79099488897657E+02
5.02828682328321E+01   5.55610495117956E+02
5.52781002704806E+01   5.04287101719124E+02
6.02696175748968E+01   4.61265586449470E+02
6.52641464254588E+01   4.24769014646904E+02
7.02483894572837E+01   3.93332170685255E+02
7.52398231510933E+01   3.66000550969177E+02
8.02327055998233E+01   3.42022906839381E+02
8.52202005659249E+01   3.20814275032110E+02
9.02149132539745E+01   3.01935189527669E+02
9.52032841156737E+01   2.85012769155032E+02
1.00197353868927E+02   2.69793137251849E+02
1.10194416969427E+02   2.43366062711592E+02
1.20186492610419E+02   2.21351777078260E+02
1.30173332171492E+02   2.02742610444832E+02
1.40169360175915E+02   1.86781364545071E+02
1.50168910861938E+02   1.72987598789772E+02
1.60169161889286E+02   1.60951013809346E+02
1.70169349380626E+02   1.50375534236321E+02
1.80166326780366E+02   1.41036795221908E+02
1.90168490872311E+02   1.32716287195986E+02
2.00169809231755E+02   1.25274005395558E+02
2.10165280613787E+02   1.18603392756966E+02
2.20158364698618E+02   1.12559268957371E+02
2.30161829526146E+02   1.07098675700296E+02
2.40162030741741E+02   1.02126662936589E+02
2.50146159369781E+02   9.76062899136343E+01
2.60138579358951E+02   9.34632289007820E+01
2.70139017095552E+02   8.96573344147719E+01
2.80148222861858E+02   8.61525654153762E+01
2.90145757906314E+02   8.29244846393309E+01
3.00156972759054E+02   7.99362173147498E+01
3.10168424931686E+02   7.71683177813539E+01
3.15173912101698E+02   7.58570624714684E+01
3.20169276786281E+02   7.45961714319052E+01
3.26153832634598E+02   7.31424533479367E+01
3.30163048416189E+02   7.22086041307550E+01
